case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma,sentimen
keren pokok nya.. botol ke 3 aku paket nya,keren pokok nya botol ke aku paket nya,keren pokok nya botol ke aku paket nya,"['keren', 'pokok', 'nya', 'botol', 'ke', 'aku', 'paket', 'nya']","['keren', 'pokok', 'nya', 'botol', 'aku', 'paket', 'nya']",keren pokok nya botol aku paket nya,2
oke banget...walaupun bedak taburnya tidak sehalus shu uemura ..tapi harga segitu worthed lah...,oke banget walaupun bedak taburnya tidak sehalus shu uemura tapi harga segitu worthed lah,oke banget walaupun bedak taburnya tidak sehalus shu uemura tapi harga segitu worthed lah,"['oke', 'banget', 'walaupun', 'bedak', 'taburnya', 'tidak', 'sehalus', 'shu', 'uemura', 'tapi', 'harga', 'segitu', 'worthed', 'lah']","['oke', 'banget', 'walaupun', 'bedak', 'taburnya', 'sehalus', 'shu', 'uemura', 'harga', 'segitu', 'worthed', 'lah']",oke banget walaupun bedak taburnya sehalus shu uemura harga segitu worthed lah,2
cucooook!! dpt diskon😍 terimakasih somethinccc,cucooook dpt diskon terimakasih somethinccc,cucooook dapat diskon terima kasih somethinccc,"['cucooook', 'dapat', 'diskon', 'terima', 'kasih', 'somethinccc']","['cucooook', 'diskon', 'terima', 'kasih', 'somethinccc']",cucooook diskon terima kasih somethinccc,2
amannnnn ✨,amannnnn,amannnnn,['amannnnn'],['amannnnn'],amannnnn,0
sip,sip,sip,['sip'],['sip'],sip,0
thebest,thebest,thebest,['thebest'],['thebest'],thebest,0
"baru pertama coba, smoga cocok tipe kulitku berminyak",baru pertama coba smoga cocok tipe kulitku berminyak,baru pertama coba semoga cocok tipe kulitku berminyak,"['baru', 'pertama', 'coba', 'semoga', 'cocok', 'tipe', 'kulitku', 'berminyak']","['baru', 'pertama', 'coba', 'semoga', 'cocok', 'tipe', 'kulitku', 'berminyak']",baru pertama coba semoga cocok tipe kulitku berminyak,2
"baru pertama coba jd blm tau hasilnya, smoga cocok  tipe kulitku berminyak",baru pertama coba jd blm tau hasilnya smoga cocok tipe kulitku berminyak,baru pertama coba jadi belum tau hasilnya semoga cocok tipe kulitku berminyak,"['baru', 'pertama', 'coba', 'jadi', 'belum', 'tau', 'hasilnya', 'semoga', 'cocok', 'tipe', 'kulitku', 'berminyak']","['baru', 'pertama', 'coba', 'jadi', 'tau', 'hasilnya', 'semoga', 'cocok', 'tipe', 'kulitku', 'berminyak']",baru pertama coba jadi tau hasilnya semoga cocok tipe kulitku berminyak,2
suppeeerrr recommended seller.... suppeeerrr cepppaaattt... barang sesuai deskripsinya... tipe kulitku berminyak,suppeeerrr recommended seller suppeeerrr cepppaaattt barang sesuai deskripsinya tipe kulitku berminyak,suppeeerrr recommended seller suppeeerrr cepppaaattt barang sesuai deskripsinya tipe kulitku berminyak,"['suppeeerrr', 'recommended', 'seller', 'suppeeerrr', 'cepppaaattt', 'barang', 'sesuai', 'deskripsinya', 'tipe', 'kulitku', 'berminyak']","['suppeeerrr', 'recommended', 'seller', 'suppeeerrr', 'cepppaaattt', 'barang', 'sesuai', 'deskripsinya', 'tipe', 'kulitku', 'berminyak']",suppeeerrr recommended seller suppeeerrr cepppaaattt barang sesuai deskripsinya tipe kulitku berminyak,2
sudah cocok dan repurchase berkali2 tks,sudah cocok dan repurchase berkali tks,sudah cocok dan repurchase berkali thanks,"['sudah', 'cocok', 'dan', 'repurchase', 'berkali', 'thanks']","['cocok', 'repurchase', 'berkali', 'thanks']",cocok repurchase berkali thanks,2
"ringan, warna tegas, pigmented, penggunaan mudah, ada sharpener juga",ringan warna tegas pigmented penggunaan mudah ada sharpener juga,ringan warna tegas pigmented penggunaan mudah ada sharpener juga,"['ringan', 'warna', 'tegas', 'pigmented', 'penggunaan', 'mudah', 'ada', 'sharpener', 'juga']","['ringan', 'warna', 'tegas', 'pigmented', 'penggunaan', 'mudah', 'sharpener']",ringan warna tegas pigmented penggunaan mudah sharpener,2
"tekstur ringan, semoga cocok. tks",tekstur ringan semoga cocok tks,tekstur ringan semoga cocok thanks,"['tekstur', 'ringan', 'semoga', 'cocok', 'thanks']","['tekstur', 'ringan', 'semoga', 'cocok', 'thanks']",tekstur ringan semoga cocok thanks,2
katanya bagus. pas banget maskara lama udh habis jadi cobain somethinc tipsy ini. semoga bulu mata bisa makin cetar membahana ulala kaya bulu mata badainya syahrini 😍,katanya bagus pas banget maskara lama udh habis jadi cobain somethinc tipsy ini semoga bulu mata bisa makin cetar membahana ulala kaya bulu mata badainya syahrini,katanya bagus pas banget maskara lama sudah habis jadi mencoba somethinc tipsy ini semoga bulu mata bisa makin cetar membahana ulala kayak bulu mata badainya syahrini,"['katanya', 'bagus', 'pas', 'banget', 'maskara', 'lama', 'sudah', 'habis', 'jadi', 'mencoba', 'somethinc', 'tipsy', 'ini', 'semoga', 'bulu', 'mata', 'bisa', 'makin', 'cetar', 'membahana', 'ulala', 'kayak', 'bulu', 'mata', 'badainya', 'syahrini']","['katanya', 'bagus', 'pas', 'banget', 'maskara', 'lama', 'habis', 'jadi', 'mencoba', 'somethinc', 'tipsy', 'semoga', 'bulu', 'mata', 'makin', 'cetar', 'membahana', 'ulala', 'kayak', 'bulu', 'mata', 'badainya', 'syahrini']",katanya bagus pas banget maskara lama habis jadi mencoba somethinc tipsy semoga bulu mata makin cetar membahana ulala kayak bulu mata badainya syahrini,2
keren banget cocok sama warna kulit aku,keren banget cocok sama warna kulit aku,keren banget cocok sama warna kulit aku,"['keren', 'banget', 'cocok', 'sama', 'warna', 'kulit', 'aku']","['keren', 'banget', 'cocok', 'sama', 'warna', 'kulit', 'aku']",keren banget cocok sama warna kulit aku,2
baru coba belum keliatan hasilnya tp pengiriman lama bangett,baru coba belum keliatan hasilnya tp pengiriman lama bangett,baru coba belum kelihatan hasilnya tapi pengiriman lama banget,"['baru', 'coba', 'belum', 'kelihatan', 'hasilnya', 'tapi', 'pengiriman', 'lama', 'banget']","['baru', 'coba', 'kelihatan', 'hasilnya', 'pengiriman', 'lama', 'banget']",baru coba kelihatan hasilnya pengiriman lama banget,2
"packing bagus banget, rapi. pengiriman cepat, memuaskan. thanks somethinc🤩",packing bagus banget rapi pengiriman cepat memuaskan thanks somethinc,packing bagus banget rapi pengiriman cepat memuaskan thanks somethinc,"['packing', 'bagus', 'banget', 'rapi', 'pengiriman', 'cepat', 'memuaskan', 'thanks', 'somethinc']","['packing', 'bagus', 'banget', 'rapi', 'pengiriman', 'cepat', 'memuaskan', 'thanks', 'somethinc']",packing bagus banget rapi pengiriman cepat memuaskan thanks somethinc,2
barang sesuai deskripsi. sudah pembelian yg kesekian kali. recommeded. dapat bonus juga,barang sesuai deskripsi sudah pembelian yg kesekian kali recommeded dapat bonus juga,barang sesuai deskripsi sudah pembelian yang kesekian kali recommeded dapat bonus juga,"['barang', 'sesuai', 'deskripsi', 'sudah', 'pembelian', 'yang', 'kesekian', 'kali', 'recommeded', 'dapat', 'bonus', 'juga']","['barang', 'sesuai', 'deskripsi', 'pembelian', 'kesekian', 'kali', 'recommeded', 'bonus']",barang sesuai deskripsi pembelian kesekian kali recommeded bonus,2
"respons cepat, packing sangat aman. thanks.",respons cepat packing sangat aman thanks,respons cepat packing sangat aman thanks,"['respons', 'cepat', 'packing', 'sangat', 'aman', 'thanks']","['respons', 'cepat', 'packing', 'sangat', 'aman', 'thanks']",respons cepat packing sangat aman thanks,2
abis nyoba yang versi kecilnya dan emang bikin kulit jadi lebih cerah terus langsung beli yang versi gedenya deh,abis nyoba yang versi kecilnya dan emang bikin kulit jadi lebih cerah terus langsung beli yang versi gedenya deh,habis mencoba yang versi kecilnya dan memang bikin kulit jadi lebih cerah terus langsung beli yang versi gedenya deh,"['habis', 'mencoba', 'yang', 'versi', 'kecilnya', 'dan', 'memang', 'bikin', 'kulit', 'jadi', 'lebih', 'cerah', 'terus', 'langsung', 'beli', 'yang', 'versi', 'gedenya', 'deh']","['habis', 'mencoba', 'versi', 'kecilnya', 'memang', 'bikin', 'kulit', 'jadi', 'lebih', 'cerah', 'terus', 'langsung', 'beli', 'versi', 'gedenya', 'deh']",habis mencoba versi kecilnya memang bikin kulit jadi lebih cerah terus langsung beli versi gedenya deh,2
"teksturnya agak cair, bikin muka jadi lembut setelah pemakaian",teksturnya agak cair bikin muka jadi lembut setelah pemakaian,teksturnya agak cair bikin muka jadi lembut setelah pemakaian,"['teksturnya', 'agak', 'cair', 'bikin', 'muka', 'jadi', 'lembut', 'setelah', 'pemakaian']","['teksturnya', 'cair', 'bikin', 'muka', 'jadi', 'lembut', 'pemakaian']",teksturnya cair bikin muka jadi lembut pemakaian,2
"warnanya bagus bgt, lipsticknya juga tahan lama, awet banget di pakenya",warnanya bagus bgt lipsticknya juga tahan lama awet banget di pakenya,warnanya bagus banget lipsticknya juga tahan lama awet banget di pakenya,"['warnanya', 'bagus', 'banget', 'lipsticknya', 'juga', 'tahan', 'lama', 'awet', 'banget', 'di', 'pakenya']","['warnanya', 'bagus', 'banget', 'lipsticknya', 'tahan', 'lama', 'awet', 'banget', 'pakenya']",warnanya bagus banget lipsticknya tahan lama awet banget pakenya,2
barang cepat sampai.. semoga kandungannya cocok di tipe kulit berminyak.. mudah mudahan khasiatnya bisa cepat terasa.. amin..,barang cepat sampai semoga kandungannya cocok di tipe kulit berminyak mudah mudahan khasiatnya bisa cepat terasa amin,barang cepat sampai semoga kandungannya cocok di tipe kulit berminyak mudah mudahan khasiatnya bisa cepat terasa amin,"['barang', 'cepat', 'sampai', 'semoga', 'kandungannya', 'cocok', 'di', 'tipe', 'kulit', 'berminyak', 'mudah', 'mudahan', 'khasiatnya', 'bisa', 'cepat', 'terasa', 'amin']","['barang', 'cepat', 'semoga', 'kandungannya', 'cocok', 'tipe', 'kulit', 'berminyak', 'mudah', 'mudahan', 'khasiatnya', 'cepat', 'terasa', 'amin']",barang cepat semoga kandungannya cocok tipe kulit berminyak mudah mudahan khasiatnya cepat terasa amin,2
semoga cck,semoga cck,semoga cck,"['semoga', 'cck']","['semoga', 'cck']",semoga cck,2
"baru coba nih, warnanya menyatu dengan kulit. soal ketahanan belum bisa comment",baru coba nih warnanya menyatu dengan kulit soal ketahanan belum bisa comment,baru coba nih warnanya menyatu dengan kulit soal ketahanan belum bisa comment,"['baru', 'coba', 'nih', 'warnanya', 'menyatu', 'dengan', 'kulit', 'soal', 'ketahanan', 'belum', 'bisa', 'comment']","['baru', 'coba', 'nih', 'warnanya', 'menyatu', 'kulit', 'soal', 'ketahanan', 'comment']",baru coba nih warnanya menyatu kulit soal ketahanan comment,2
"product kedua nih, setelah nyoba sebelumnya jadi keterusan beli lagi
coverage-nya bagus, kalo mau lebih mate perlu ditouch up dgn powder atau compact lagi. kalo pengen natural dan sedikit creamy cukup dgn 1 sapuan.",product kedua nih setelah nyoba sebelumnya jadi keterusan beli lagi coverage nya bagus kalo mau lebih mate perlu ditouch up dgn powder atau compact lagi kalo pengen natural dan sedikit creamy cukup dgn sapuan,product kedua nih setelah mencoba sebelumnya jadi keterusan beli lagi coverage nya bagus kalo mau lebih mate perlu ditouch up dengan powder atau compact lagi kalo pengin natural dan sedikit creamy cukup dengan sapuan,"['product', 'kedua', 'nih', 'setelah', 'mencoba', 'sebelumnya', 'jadi', 'keterusan', 'beli', 'lagi', 'coverage', 'nya', 'bagus', 'kalo', 'mau', 'lebih', 'mate', 'perlu', 'ditouch', 'up', 'dengan', 'powder', 'atau', 'compact', 'lagi', 'kalo', 'pengin', 'natural', 'dan', 'sedikit', 'creamy', 'cukup', 'dengan', 'sapuan']","['product', 'kedua', 'nih', 'mencoba', 'sebelumnya', 'jadi', 'keterusan', 'beli', 'coverage', 'nya', 'bagus', 'kalo', 'mau', 'lebih', 'mate', 'perlu', 'ditouch', 'up', 'powder', 'compact', 'kalo', 'pengin', 'natural', 'sedikit', 'creamy', 'cukup', 'sapuan']",product kedua nih mencoba sebelumnya jadi keterusan beli coverage nya bagus kalo mau lebih mate perlu ditouch up powder compact kalo pengin natural sedikit creamy cukup sapuan,2
semoga cocok krn perdana memakai produk somethinc,semoga cocok krn perdana memakai produk somethinc,semoga cocok karena perdana memakai produk somethinc,"['semoga', 'cocok', 'karena', 'perdana', 'memakai', 'produk', 'somethinc']","['semoga', 'cocok', 'perdana', 'memakai', 'produk', 'somethinc']",semoga cocok perdana memakai produk somethinc,2
tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku sensitif tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar,0
tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku pori besar tipe kulitku normal masalah kulitku kerutan masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku pori besar tipe kulitku normal masalah kulitku kerutan masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku pori besar tipe kulitku normal masalah kulitku kerutan masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat']",tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku pori besar tipe kulitku normal masalah kulitku kerutan masalah kulitku jerawat,0
packing aman.. produk baguss. thank you seller 🫰🏻,packing aman produk baguss thank you seller,packing aman produk bagus thank you seller,"['packing', 'aman', 'produk', 'bagus', 'thank', 'you', 'seller']","['packing', 'aman', 'produk', 'bagus', 'thank', 'you', 'seller']",packing aman produk bagus thank you seller,2
"bahannya ringan, paket lengkap, ada penjelasan cara pakai
cocok utk pemakaian semua kulit",bahannya ringan paket lengkap ada penjelasan cara pakai cocok utk pemakaian semua kulit,bahannya ringan paket lengkap ada penjelasan cara pakai cocok untuk pemakaian semua kulit,"['bahannya', 'ringan', 'paket', 'lengkap', 'ada', 'penjelasan', 'cara', 'pakai', 'cocok', 'untuk', 'pemakaian', 'semua', 'kulit']","['bahannya', 'ringan', 'paket', 'lengkap', 'penjelasan', 'cara', 'pakai', 'cocok', 'pemakaian', 'semua', 'kulit']",bahannya ringan paket lengkap penjelasan cara pakai cocok pemakaian semua kulit,2
"packing aman...
proses cepat...
makasih bonus nya ya... 🙏🥰♥️",packing aman proses cepat makasih bonus nya ya,packing aman proses cepat terima kasih bonus nya ya,"['packing', 'aman', 'proses', 'cepat', 'terima', 'kasih', 'bonus', 'nya', 'ya']","['packing', 'aman', 'proses', 'cepat', 'terima', 'kasih', 'bonus', 'nya']",packing aman proses cepat terima kasih bonus nya,2
tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,0
ringan di wajah tipe kulitku berminyak tipe kulitku sensitif,ringan di wajah tipe kulitku berminyak tipe kulitku sensitif,ringan di wajah tipe kulitku berminyak tipe kulitku sensitif,"['ringan', 'di', 'wajah', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif']","['ringan', 'wajah', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif']",ringan wajah tipe kulitku berminyak tipe kulitku sensitif,0
baru mau coba semoga cocok,baru mau coba semoga cocok,baru mau coba semoga cocok,"['baru', 'mau', 'coba', 'semoga', 'cocok']","['baru', 'mau', 'coba', 'semoga', 'cocok']",baru mau coba semoga cocok,2
pengiriman cepet packing aman barang sesui,pengiriman cepet packing aman barang sesui,pengiriman cepat packing aman barang sesui,"['pengiriman', 'cepat', 'packing', 'aman', 'barang', 'sesui']","['pengiriman', 'cepat', 'packing', 'aman', 'barang', 'sesui']",pengiriman cepat packing aman barang sesui,2
"pengiriman cepat, packing aman dan barang sesuai. terima kasih.",pengiriman cepat packing aman dan barang sesuai terima kasih,pengiriman cepat packing aman dan barang sesuai terima kasih,"['pengiriman', 'cepat', 'packing', 'aman', 'dan', 'barang', 'sesuai', 'terima', 'kasih']","['pengiriman', 'cepat', 'packing', 'aman', 'barang', 'sesuai', 'terima', 'kasih']",pengiriman cepat packing aman barang sesuai terima kasih,2
packing sangat rapih,packing sangat rapih,packing sangat rapi,"['packing', 'sangat', 'rapi']","['packing', 'sangat', 'rapi']",packing sangat rapi,2
tipe kulitku berminyak tipe kulitku normal under tone kulitku netral,tipe kulitku berminyak tipe kulitku normal under tone kulitku netral,tipe kulitku berminyak tipe kulitku normal under tone kulitku netral,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'under', 'tone', 'kulitku', 'netral']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'under', 'tone', 'kulitku', 'netral']",tipe kulitku berminyak tipe kulitku normal under tone kulitku netral,0
repeat order dong. suka banget sama kualitas produknya somethinc.. udah pake semua rangiakan produknya wkwk,repeat order dong suka banget sama kualitas produknya somethinc udah pake semua rangiakan produknya,repeat order dong suka banget sama kualitas produknya somethinc sudah pakai semua rangiakan produknya,"['repeat', 'order', 'dong', 'suka', 'banget', 'sama', 'kualitas', 'produknya', 'somethinc', 'sudah', 'pakai', 'semua', 'rangiakan', 'produknya']","['repeat', 'order', 'dong', 'suka', 'banget', 'sama', 'kualitas', 'produknya', 'somethinc', 'pakai', 'semua', 'rangiakan', 'produknya']",repeat order dong suka banget sama kualitas produknya somethinc pakai semua rangiakan produknya,2
lagi coba untuk pertama kalinya .. semoga cocok,lagi coba untuk pertama kalinya semoga cocok,lagi coba untuk pertama kalinya semoga cocok,"['lagi', 'coba', 'untuk', 'pertama', 'kalinya', 'semoga', 'cocok']","['coba', 'pertama', 'kalinya', 'semoga', 'cocok']",coba pertama kalinya semoga cocok,2
